id,gameId,playerId,breakScore,round1,round2,final,coryat
1,4529,9121,1400,1900,7900,4900,8000
2,4529,9120,-100,400,1200,2399,1200
3,4529,9119,500,800,2400,100,2400
4,5120,10307,-100,1700,9800,13800,9300
5,5120,10306,-100,500,-900,-900,-900
6,5120,10305,700,1500,2900,5400,2600
7,4592,9256,1900,3900,11300,16300,10000
8,4592,9255,0,1300,2700,25,2700
9,4592,9254,0,800,0,0,0
10,368,747,800,400,400,3,1400
11,368,746,1900,3800,7800,6500,7500
12,368,745,200,900,4500,801,4500
13,5018,10106,0,2100,2900,5000,4200
14,5018,10105,500,700,2500,4950,2700
15,5018,10104,200,1200,1600,1500,1600
16,5009,10082,1200,1400,9600,15000,8400
17,5009,10081,700,1900,2500,4900,2500
18,5009,10080,1200,2900,4700,9300,4700
19,5012,10082,700,700,3100,5100,3100
20,5012,10089,-600,-600,200,100,200
21,5012,10088,200,200,2500,500,3200
22,4249,8546,200,2600,5800,4600,5800
23,4249,8545,-400,-700,300,5,800
24,4249,8544,100,-800,-1600,-1600,-1600
25,363,727,100,4500,7100,4601,7100
26,363,734,-700,-400,-1000,-1000,500
27,363,733,800,800,4600,0,4000
28,362,727,1500,4400,10400,12399,10000
29,362,732,600,1300,-300,-300,-300
30,362,731,300,600,4200,200,5000
31,361,727,700,2300,5500,11000,5500
32,361,730,-100,-500,1500,0,1300
33,361,729,0,2700,5500,100,5500
34,360,725,800,1300,5800,1000,6600
35,360,728,1000,1100,1300,100,1300
36,360,727,500,1900,6900,2000,6900
37,359,718,100,1900,3700,1400,5600
38,359,726,-100,1700,1700,3200,1700
39,359,725,1300,1000,2900,5400,3600
40,356,715,1100,2000,2800,500,2800
41,356,719,100,-700,-500,-500,-500
42,356,718,300,2900,3000,5650,3800
43,355,715,900,2700,6800,1000,4900
44,355,717,700,1100,900,0,1900
45,355,700,700,2100,6100,0,6100
46,354,716,0,300,4300,8600,4300
47,354,715,800,2900,6100,10100,6600
48,354,714,100,1400,-1000,-1000,-1000
49,353,701,1100,3900,8000,9000,8900
50,353,713,400,800,1400,2800,1400
51,353,712,-100,600,3500,7000,3900
52,352,701,550,1950,6550,13050,6400
53,352,711,200,1300,7100,100,8100
54,352,710,-500,1000,0,0,0
55,348,700,100,600,3600,7200,3200
56,348,702,600,1400,2000,0,2000
57,348,701,400,700,7400,7599,6900
58,347,700,1100,2700,7000,4000,7900
59,347,699,-300,100,2000,3995,2100
60,347,698,500,2200,3800,2600,3800
61,5244,10557,300,-600,-2000,-2000,-1000
62,5244,10556,300,-500,2300,4595,2300
63,5244,10555,1500,3000,5400,5800,5400
64,5238,10537,500,1300,9600,3000,7700
65,5238,10544,600,1900,700,1400,700
66,5238,10543,-500,500,900,1401,1400
67,5243,10537,2000,3300,14100,8300,9900
68,5243,10554,0,700,3700,5,3700
69,5243,10553,0,-800,-200,-200,-200
70,5237,10537,1200,3800,13800,23800,13800
71,5237,10542,900,2000,800,1600,5700
72,5237,10541,300,1000,600,1199,600
73,5236,10537,1700,5400,15500,5500,11100
74,5236,10540,-800,-600,1400,0,1400
75,5236,10539,-200,600,1000,1,2000
76,5235,694,1800,3400,3000,6000,6500
77,5235,10538,-300,-900,2300,4600,1900
78,5235,10537,200,2800,6400,6750,6400
79,5234,694,1300,3200,9600,11600,10200
80,5234,10536,0,800,2400,4750,2400
81,5234,10535,0,800,3600,7100,3600
82,345,687,100,100,6800,5,5900
83,345,695,500,1400,1800,5,1800
84,345,694,1000,4600,8700,3700,9300
85,344,687,800,2900,8900,17800,7500
86,344,693,0,1100,2500,2480,2300
87,344,692,1000,1500,10500,3000,9100
88,341,686,1200,2900,9600,11200,8500
89,341,688,500,700,3100,600,3100
90,341,687,800,4100,9500,19000,9600
91,340,684,1000,1700,5300,10600,5900
92,340,686,400,1600,6000,11000,6000
93,340,685,600,3100,4900,9750,4900
94,339,681,600,200,1600,1700,2600
95,339,684,600,2500,6300,11300,6300
96,339,683,0,3000,6600,550,6600
97,338,682,1300,4100,9700,50,8200
98,338,681,1100,1900,10900,900,9500
99,338,680,600,1400,2400,100,2400
100,180,378,-100,100,4500,9000,4500
101,180,380,1300,3600,12400,13400,11200
102,180,379,200,1300,3300,200,3300
103,179,375,100,200,3200,100,3200
104,179,378,600,2500,10000,3000,7500
105,179,377,1300,2600,7200,200,7000
106,177,376,1300,1500,5500,2500,6600
107,177,375,0,2100,4200,8390,5700
108,177,374,-200,500,-1300,-1300,-1300
109,174,365,1900,3100,9500,0,9500
110,174,367,100,1000,5000,0,4600
111,174,366,-100,500,1100,0,1100
112,173,365,1000,3300,8100,8400,7600
113,173,364,-300,200,3800,7500,3600
114,173,363,400,700,2500,5000,2500
115,3377,6817,1000,1800,7200,12200,7400
116,3377,6816,300,-600,6000,11000,6200
117,3377,6815,300,500,1500,2,1500
118,4277,8611,500,2000,11000,15000,9600
119,4277,8610,300,1700,3400,3600,4100
120,4277,8609,800,900,1500,0,1500
121,5010,10085,-300,300,1700,1,1700
122,5010,10084,1700,2200,8600,7000,9400
123,5010,10083,400,1800,3000,2200,3800
124,1992,4007,1100,2700,3700,100,3700
125,1992,4010,700,2400,4000,599,4400
126,1992,4009,200,200,2400,0,2400
127,1991,4008,300,200,3400,3300,4400
128,1991,4007,3000,4900,4700,6900,4100
129,1991,4006,-200,-400,2600,5100,2600
130,4230,8505,1900,3600,7000,4000,6800
131,4230,8504,1300,1900,4300,4000,4300
132,4230,8503,0,400,3600,0,4600
133,4281,8616,2100,3200,8800,5000,7400
134,4281,8622,800,400,-400,-400,-400
135,4281,8621,-500,-500,-2500,-2500,-2500
136,4279,8617,0,0,5400,800,5400
137,4279,8616,0,0,5000,9999,3200
138,4279,8615,0,0,1300,99,1000
139,5397,10882,200,900,3000,6000,4700
140,5397,10885,-100,1400,3200,300,3200
141,5397,10886,1200,1000,600,0,500
142,5396,10882,1000,1900,9100,9100,8900
143,5396,10884,900,2900,2500,4999,2500
144,5396,10883,200,-500,-900,-900,600
145,5395,10882,1000,3900,7700,9700,7700
146,5395,10881,-200,400,2400,2400,2400
147,5395,10880,250,450,2050,0,2600
148,2265,4431,1000,1100,6900,12900,6500
149,2265,4552,0,2700,4100,8200,5100
150,2265,4551,800,800,1800,300,1800
151,2264,4431,800,2800,11400,8400,10000
152,2264,4550,600,2100,2900,5799,2300
153,2264,4549,1400,1600,6600,100,6200
154,2263,4431,1900,1600,7000,8199,7500
155,2263,4548,600,-300,1500,3000,900
156,2263,4547,-300,300,2900,1501,2900
157,2262,4431,800,1200,8800,6601,8600
158,2262,4546,1800,900,500,2,1900
159,2262,4545,100,700,3300,0,3300
160,2205,4432,300,900,1900,3800,1900
161,2205,4431,2200,5000,9000,10000,10500
162,2205,4430,-100,100,900,1,900
163,5045,10163,1600,2600,4400,50,4700
